TransactionId,ChargePoint,Connector,MeterStart,MeterStop,ConnectedTime,ChargeTime,TotalEnergy,MaxPower,Started,Ended
2740535,REE224,REE224-2,1568260,1570600,0.2683,0.2683,2.34,9,10/8/2017 10:43:40,10/8/2017 10:59:46
2323713,EV0014,EV0014-1,10213940,10227620,1.2686,1.2686,13.68,10.852,4/9/2017 8:57:54,4/9/2017 10:14:01
2385930,DB0205,DB0205-2,1523120,1551550,8.5933,3.4767,28.43,10,4/24/2017 6:16:24,4/24/2017 14:52:00
2761557,EV0014,EV0014-1,14525020,14583500,14.9389,6.6825,58.48,10.618,10/21/2017 18:40:48,10/22/2017 9:37:08
2754357,EV0120,EV0120-1,9441050,9444490,0.3169,0.3169,3.44,10.876,10/17/2017 8:49:42,10/17/2017 9:08:43
2802847,AL889,AL889-1,3670389,3682689,1.0969,1.0967,12.3,11.6,11/15/2017 17:44:38,11/15/2017 18:50:27
2838672,DB0287,DB0287-2,3705820,3766690,20.7286,5.9675,60.87,10.36,12/9/2017 13:46:57,12/10/2017 10:30:40
2198523,AL924,AL924-2,1476350,1494700,1.7736,1.7736,18.35,10.88,3/10/2017 17:16:36,3/10/2017 19:03:01
2808025,REE301,REE301-1,237999,257417,2.0308,2.0308,19.418,9.636,11/18/2017 18:34:48,11/18/2017 20:36:39
2470098,AL556,AL556-1,1743439,1765140,2.0714,2.0706,21.701,10.72,5/15/2017 19:24:59,5/15/2017 21:29:16
2065350,DB0120,DB0120-2,118580,165450,6.28,5.1858,46.87,11.138,1/29/2017 17:08:55,1/29/2017 23:25:43
2578520,DB0226,DB0226-1,94100,123990,10.8064,3.2383,29.89,11.271,6/27/2017 20:00:42,6/28/2017 6:49:05
2678469,REE021,REE021-1,297380,307010,0.9239,0.9239,9.63,10.68,8/30/2017 8:07:00,8/30/2017 9:02:26
2251661,DB0169,DB0169-1,527820,559250,3.0431,3.0431,31.43,10.939,3/23/2017 12:26:04,3/23/2017 15:28:39
2526737,DB0280,DB0280-1,3795240,3833050,21.3106,3.9111,37.81,10.2,6/2/2017 12:05:20,6/3/2017 9:23:58
2410606,EV0033,EV0033-1,6423120,6462440,7.2942,3.4922,39.32,13.67,4/30/2017 15:38:15,4/30/2017 22:55:54
2438335,EV0207,EV0207-1,13090160,13160710,8.3056,6.0619,70.55,13.846,5/8/2017 3:29:26,5/8/2017 11:47:46
2861899,RWE014,RWE014-1,19816056,19864772,15.4281,5.1197,48.716,10.085,12/26/2017 18:22:48,12/27/2017 9:48:29
2642094,AL590,AL590-1,1799729,1806579,1.0669,0.8158,6.85,12.2,8/5/2017 12:11:48,8/5/2017 13:15:49
